연번,지역,지역 시군구,센터명,사업자 구분,지정일,주력보육분야,주소,특화분야,입주기업 전체 개수,보육실 전체 개수,입주율,센터등급
23,서울특별시,동작구,숭실대학교 벤처중소기업센터,대학,1999-08-05,정보처리 및 컴퓨터운영 관련업,06978서울특별시 동작구 상도로 369(상도동) 벤처중소기업센터 409호,IT,30,33,100.0,70점 이상
24,서울특별시,마포구,아트앤디자인테크 창업보육센터(홍익대_서울),대학,2021-07-06,"아트앤디자인, 아트앤디자인 테크 결합","04068서울특별시 마포구 독막로 101, BR엘리텔 빌딩 624호 (상수동)BR엘리텔 빌딩 624호","공예, 디자인",2,9,26.1,
25,서울특별시,강남구,여성기업종합지원센터,공공기관·협단체,2006-12-22,여성창업지원,06224서울특별시 강남구 역삼로 221(역삼동) 6층,특화BI ,208,215,92.7,
26,서울특별시,서대문구,연세대학교 창업지원단,대학,1998-02-22,연구개발1,03722서울특별시 서대문구 연세로 50(신촌동)공학원 211호,특화BI ,19,34,87.1,70점 이상
27,서울특별시,서대문구,이화여자대학교 창업지원단,대학,2012-04-30,문화콘텐츠 등,"03759서울특별시 서대문구 북아현로 150, 이화여자대학교 산학협력관 522호 (신촌동) (신촌동)이화여자대학교 산학협력관 522호 (신촌동)",문화컨텐츠,17,33,91.1,70점 이상
28,서울특별시,노원구,인덕대학창업지원단,대학,2000-04-27,학생창업지원사업,01878서울 노원구 초안산로  12인덕대학교 제1공학관 4층 창업지원단,특화BI ,15,34,53.8,70점 이상
29,서울특별시,영등포구,장애인기업종합지원센터(서울지역센터),공공기관·협단체,2011-12-22,장애인 특화 창업보육,07230서울특별시 영등포구 버드나루로14길 25(당산동)7층,장애인,92,124,81.4,
30,서울특별시,성동구,한양대학교 창업보육센터,대학,2005-12-26,정보통신(IT),"04763서울특별시 성동구 왕십리로 222, 한양종합기술연구원(HIT관) 115호 (사근동) (사근동)한양종합기술연구원(HIT관) 115호 (사근동)",IT,14,37,53.4,
31,서울특별시,서초구,호서대학교 서울창업보육센터,대학,2011-12-22,"반도체,디스플레이,나노,문화콘텐츠",06724서울특별시 서초구 남부순환로 2497(서초동)601호 경영지원실,시니어,25,27,97.3,70점 이상
32,서울특별시,성북구,홍릉벤처밸리창업보육센터,민간기관,2001-08-06,"바이오, ICT",02792서울특별시 성북구 화랑로14길 5 (하월곡동)KIST H-2동 911C호,특화BI ,26,26,100.0,70점 이상
33,경기도,화성시,KAIST-화성시 동탄 사이언스 허브,민간기관,2023-06-27,"반도체,소재,AI,로봇","18478경기도 화성시 동탄역로 160, 롯데백화점 동탄점 B3 (오산동)롯데백화점 동탄점 B3",IT,9,18,72.3,
34,경기도,성남시,가천대학교 창업보육센터,대학,2002-03-20,"나노,바이오,IT 등 첨단기술 분야",13120경기도 성남시 수정구 성남대로 1342(복정동),특화BI ,18,20,100.0,70점 미만
35,경기도,부천시,가톨릭대학교 창업보육센터,대학,2002-03-20,BT/IT관련 산업,"14662경기도 부천시 지봉로 43, 가톨릭대학교 산학협력관 216호 (역곡동)가톨릭대학교 산학협력관 216호",특화BI ,8,15,60.0,70점 미만
36,경기도,용인시,강남대창업보육센터,대학,1999-08-05,전기전자 IT,16977경기도 용인시 기흥구 강남서로 20 (구갈동)강남대학교 창조산학관 102호 (구갈동),특화BI ,10,14,84.5,70점 이상
37,경기도,시흥시,경기과학기술대학교창업보육센터,대학,1999-02-27,녹색성장 및 1인기업,"15073경기도 시흥시 경기과기대로 270, 경기과학기술대학교 제1중소기업관 H동 207호 (정왕동)경기과학기술대학교 창업보육센터",녹색성장,34,51,74.4,70점 이상
38,경기도,용인시,경기도여성창업보육센터,정부·지자체,2008-12-24,"전자상거래,컨텐츠비즈니스,IT등","16922경기도 용인시 기흥구 용구대로 2311, 경기도일자리재단 여성능력개발본부(남부) (마북동)비즈니스동 2층 역량개발 1팀",특화BI ,21,21,95.6,70점 이상
39,경기도,수원시,경기벤처창업보육센터,정부·지자체,2007-01-24,전기전자 반도체 정보통신 정밀기기 S/W,16229경기도 수원시 영통구 광교로 107(이의동),녹색성장,32,54,88.8,70점 이상
40,경기도,수원시,경기중소기업성장지원센터,정부·지자체,2003-07-27,IT BT NT 등,16426경기도 수원시 권선구 수성로 8(구운동) 경기중소기업성장지원센터,특화BI ,20,38,95.2,70점 이상
41,경기도,수원시,경기창업보육센터(경기대),대학,1999-02-27,"IT, BT",16227경기도 수원시 영통구 광교산로 154-42(이의동) 경기대학교 창업보육센터,특화BI ,27,44,83.8,70점 미만
42,경기도,안산시,경기테크노파크 안산창업보육센터,테크노파크·창조경제혁신센터,2013-09-23,"IT, SW, IT/SW융합",15432경기도 안산시 단원구 연수원로 104-14안산정보산업진흥센터,IT,16,21,80.0,
43,경기도,의정부시,경민대학교 창업보육센터,대학,1999-08-05,"의료기기, 전기전자 등",11618경기 의정부시 서부로 545 경민대학교창업보육센터 453호,특화BI ,47,63,86.7,70점 미만
44,경기도,남양주시,경복대학교 창업보육센터,대학,2012-04-30,"지식서비스산업, 신성장동력 등",12051경기도 남양주시 진접읍 경복대로 425-80창업보육센터,특화BI ,26,30,96.1,70점 이상
45,경기도,수원시,경희대학교국제캠퍼스 창업보육센터,대학,1998-06-22,디지털 전자 ICT,"16710경기도 수원시 영통구 덕영대로 1731, 애지원 창업보육센터 202호 (영통동)애지원 창업보육센터 202호",특화BI ,23,31,84.2,70점 미만
46,경기도,군포시,군포산업진흥원 창업보육센터,정부·지자체,2022-06-15,IT,"15880경기도 군포시 군포첨단산업2로22번길 5, 5층, 6층 (부곡동)5층, 6층",IT,30,32,93.7,
47,경기도,용인시,단국대학교 창업보육센터,대학,2008-12-24,"IT, CT","16890경기도 용인시 수지구 죽전로 152글로컬 산학협력관 212호 (죽전동, 단국대학교)",특화BI ,13,17,92.4,70점 이상
48,경기도,포천시,대진대학교 창업보육센터,대학,1999-08-05,"전기, 전자, 기계, 무인항공",11159경기도 포천시 호국로 1007(선단동) 대진대학교 생활과학관,특화BI ,14,27,84.1,70점 이상
49,경기도,고양시,동국대학교 BMC 창업보육센터,대학,2009-07-09,"BT(바이오테크, 천연물신약, u-Health기기, 화장품, 기능성소재)",10326경기도 고양시 일산동구 동국로 32동국대학교 산학협력관 126호 창업보육센터 (식사동),바이오,54,153,75.9,70점 이상
50,경기도,성남시,동서울대학교 창업보육센터,대학,2000-04-27,IT융합,13117경기도 성남시 수정구 복정로 76(복정동 ),특화BI ,16,23,79.5,70점 이상
51,경기도,화성시,랩클라우드,민간기관,2023-06-27,"바이오, 신약 등","18469경기도 화성시 동탄기흥로 593-8, ㈜우정바이오 10F (영천동)㈜우정바이오 10F",바이오,0,0,0.0,
52,경기도,용인시,명지대창업보육센터(용인),대학,1999-02-27,"친환경, 반도체","17058경기도 용인시 처인구 명지로 116, 명지대학교명지대학교 창업보육센터 (남동)명지대학교명지대학교 창업보육센터",녹색성장,15,27,82.2,70점 이상
53,경기도,수원시,서울대학교농생명과학창업지원센터,대학,2000-10-31,농생명바이오,16614경기도 수원시 권선구 서호로 89(서둔동),농공상융합기업,31,69,80.7,70점 미만
54,경기도,수원시,성균관대학교 창업보육센터,대학,1999-02-27,"BT,IT,NT",16419경기도 수원시 장안구 서부로 2066 성균관대학교자연과학캠퍼스 산학협력센터 85361호,녹색성장,38,72,97.7,70점 이상
55,경기도,성남시,성남창업센터 정글ON,정부·지자체,2021-07-06,"IT융합, 바이오, 콘텐츠 등","13558경기도 성남시 분당구 성남대로331번길 8, 19층/20층/21층 (정자동)(우편번호 : 13558) (정자동)19층/20층/21층 (정자동)(우편번호 : 13558)",특화BI ,37,40,93.5,70점 이상
56,경기도,화성시,수원대창업보육센터,대학,2000-04-27,"시스템반도체, 미래자동차, 바이오",18323경기도 화성시 봉담읍 와우안길 17수원대학교 첨단 402호,지역특화,46,64,77.2,70점 미만
57,경기도,수원시,수원시 시니어창업보육센터,정부·지자체,2011-12-22,시니어창업,16263경기도 수원시 팔달구 향교로 160(중동) 창업지원센터,시니어,44,60,97.9,70점 미만
58,경기도,성남시,시너지 창업보육센터,민간기관,2017-12-29,"바이오, 의료",13201경기도 성남시 중원구 갈마치로 302 (상대원동)성남우림라이온스밸리5차 A동 5층,바이오,4,24,59.0,
59,경기도,성남시,신구대학교 창업보육센터,대학,2000-04-27,"CT, BT, IT, ET",13174경기도 성남시 중원구 광명로 377(금광동)창업관 203호,녹색성장,36,62,82.0,70점 이상
60,경기도,수원시,아주대학교 창업보육센터,대학,2000-04-27,"반도체, 전자, 정보통신",16502경기도 수원시 영통구 월드컵로 199(원천동)캠퍼스플라자 810호 창업보육센터,특화BI ,22,30,94.2,70점 이상
61,경기도,안산시,안산대학교 창업보육센터,대학,2001-03-12,"전기,전자,정보통신기기 개발",15328경기도 안산시 상록구 안산대학로 155(일동)안산대학교 창업보육센터 102호,IT,16,29,83.1,70점 이상
62,경기도,안양시,안양대학교 창업보육센터,대학,2001-03-12,"인공지능(AI), 소프트웨어, 헬스케어","14001경기도 안양시 만안구 안양로 311, 프로젝트500타워(안양동)롯데시네마안양일번가쇼핑몰 15층",특화BI ,7,13,63.7,70점 미만
63,경기도,여주시,여주대학교 창업보육센터,대학,2014-04-24,"전기·전자, 도자기(향토산업), 농업ICT(6차산업)",12652경기도 여주시 세종로 338여주대학교 여암학술관 4층 창업보육센터,특화BI ,10,11,72.7,70점 이상
64,경기도,안양시,연성대학교창업보육센터,대학,2001-03-12,전자전기통신,14011경기도 안양시 만안구 양화로37번길 34연성대학교 도의관 3~5층,특화BI ,12,23,91.7,70점 이상
65,경기도,오산시,오산대학교창업보육센터,대학,2000-04-27,"IT,전기전자",18119경기도 오산시 청학로 45(청학동),특화BI ,13,18,81.3,70점 이상
66,경기도,용인시,올콘텐츠 창업보육센터,민간기관,2022-08-08,"스마트콘텐츠,사물지능 등","17033경기도 용인시 처인구 모현읍 문현로 348, 용인소상공인회관 308호용인소상공인회관 308호","IT, 앱개발",9,9,100.0,
67,경기도,용인시,용인예술과학대학교 창업보육센터,대학,2001-03-19,기계금형사출전기전자기타,17145경기도 용인시 처인구 동부로 61(마평동)창의관303호,IT,40,58,80.3,70점 이상
68,경기도,안성시,중앙대휴먼테크노창업보육센터,대학,2000-04-27,생명자원분야,17546경기도 안성시 대덕면 서동대로 4726서동대로 4726,바이오,28,43,92.1,70점 이상
69,경기도,안산시,중진공 안산 포스트BI,공공기관·협단체,1992-04-22,"전자 및 무선통신, 반도체 관련산업",15432경기도 안산시 단원구 연수원로 64(원곡동) 중소기업진흥공단 안산post-bi센터,IT,21,32,78.8,70점 이상
70,경기도,포천시,차의과학대학교 바이오스타트업 창업보육센터,대학,2017-08-07,"의약, 바이오, 식품","11160경기도 포천시 해룡로 120, 차의과학대학교 BI (동교동)면학관 2층",바이오,21,25,86.4,70점 이상
71,경기도,성남시,투썬창업보육센터,민간기관,2011-12-22,인큐베이팅 펀드,13488경기도 성남시 분당구 판교로 323(삼평동)로비층 109호,인큐베이팅펀드,6,9,100.0,
72,경기도,안성시,한경대학교 창업보육센터,대학,2000-04-27,"환경, 바이오산업",17579경기도 안성시 중앙로 327산학협력관 2층 (석정동),특화BI ,14,24,84.0,70점 미만
73,경기도,시흥시,한국공학대학교 기술지주회사 창업보육센터,대학,1999-08-05,"정밀/특소/요소기계, 전자/기계부품, 나노광학, 정밀화학, 환경기술","15073경기도 시흥시 산기대학로 237, 한국공학대학교 P동 303호 (정왕동)한국공학대학교 P동 303호",특화BI ,18,23,91.0,70점 이상
74,경기도,부천시,한국세라믹기술원 부천 창업보육센터,연구소,2017-12-29,"세라믹 소재, 부품, 반도체, 바이오, 정밀의료, 뷰티산업, 첨단신소재 등","14449경기도 부천시 석천로 397, 301동 303-19호 (삼정동)301동 303-19호",특화BI ,12,21,45.1,70점 이상
75,경기도,이천시,한국세라믹기술원(이천분원) 공예디자인 창업보육센터,연구소,2009-07-09,공예 디자인,17303경기도 이천시 신둔면 경충대로 3321경충로 30 한국세라믹기술원 이천분원 창업보육센터,"공예, 디자인",22,26,100.0,70점 이상
76,경기도,용인시,한국외대창업보육센터,대학,2000-04-27,"ICT헬스바이오환경, 글로벌 진출",17035경기도 용인시 처인구 모현면 외대로 81창업보육센터,특화BI ,16,26,91.6,70점 이상
77,경기도,성남시,한국전자기술연구원 창업보육센터,연구소,2010-04-02,"전기, 전자",13509경기도 성남시 분당구 새나리로 25(야탑동),녹색성장,5,27,57.5,70점 이상
78,경기도,고양시,한국항공대학교 창업보육센터,대학,1999-08-05,"항공우주및기계분야, 전자및정보통신분야",10540경기도 고양시 덕양구 항공대학로 76(화전동),특화BI ,22,36,80.4,70점 미만
79,경기도,오산시,한신대학교 창업보육센터,대학,1999-08-05,"반도체, 제조, AI, IOT",18101경기도 오산시 한신대길 137 (양산동)양산동,특화BI ,21,29,95.2,70점 이상
80,경기도,안산시,한양대학교 에리카 창업보육센터,대학,1999-03-09,전자부품 제조업 등,15588경기도 안산시 상록구 한양대학로 55(사동)한양대에리카 창업보육센터 행정실 101호,특화BI ,78,129,94.2,70점 이상
81,경기도,화성시,협성대학교 창업보육센터,대학,2013-09-23,"ICT, 바이오",18330경기도 화성시 봉담읍 최루백로 72협성대학교 산학협력관,지식서비스,25,29,91.9,70점 이상
82,인천광역시,남동구,미래혁신창업보육센터,민간기관,2021-07-06,"소셜벤처, 사회적기업 등","21673인천광역시 남동구 앵고개로 928, 3층(DA프라자, 논현동) (논현동)3층(DA프라자, 논현동)",지식서비스,16,25,81.1,
83,인천광역시,연수구,인천대학교 송도창업보육센터,대학,1999-02-27,"기계,전자부품,환경,정보통신","21999인천광역시 연수구 갯벌로 12(송도동) 미추홀타워 별관 A동 4,5층",특화BI ,29,29,100.0,70점 이상
84,인천광역시,미추홀구,인천테크노파크 창업보육센터,테크노파크·창조경제혁신센터,2001-03-12,"IT, SW, CT, RT","22106인천광역시 미추홀구 경인로 229, 인천IT타워 (도화동)인천IT타워",IT,18,53,37.4,
85,인천광역시,미추홀구,인하대학교 창업보육센터,대학,2005-12-26,"신재생 에너지, 의료기기, IT융합",22212인천광역시 미추홀구 인하로 100 (용현동)본관 001호,"의료기기, 앱개발",27,62,67.2,70점 이상
86,인천광역시,부평구,한국폴리텍2대학 창업보육센터,대학,2000-04-27,"기계, 제조업, 금형, 정보통신, 자동차",21417인천광역시 부평구 무네미로448번길 56한국폴리텍 대학 인천캠퍼스 하이테크관 (구산동),특화BI ,35,59,87.7,70점 이상
87,인천광역시,서구,환경벤처센터,연구소,2000-10-31,녹색환경기술업체 보육,22689인천광역시 서구 정서진로 410창업·벤처 녹색융합클러스터 본부동 2층 환경벤처센터,특화BI ,29,33,87.8,
88,강원도,강릉시,(재)강릉과학산업진흥원 창업보육센터,정부·지자체,2011-05-23,"해양바이오 기능성 식품, 해양바이오 화장품, 해양바이오 의약품",25451강원도 강릉시 사임당로 641-22(대전동),바이오,21,27,95.5,70점 이상
89,강원도,강릉시,가톨릭관동대학교 창업보육센터,대학,2000-04-27,"에너지, 해양바이오 및 IT",25451강원도 강릉시 사임당로 641-28(대전동)가톨릭관동대학교 알앤비파크 304호,특화BI ,17,18,94.7,70점 미만
90,강원도,강릉시,강릉영동대학교 창업보육센터,대학,2000-10-31,보건 복지 관광,25521강원 강릉시 공제로 357 강릉영동대학 창업보육센터강릉영동대학교 창업보육센터,특화BI ,13,17,79.9,70점 미만
91,강원도,강릉시,강릉창업보육센터,대학,1999-08-05,공예·디자인 및 해양바이오,25457강원도 강릉시 죽헌길 7(지변동)산합협력관 501호,특화BI ,29,36,91.4,70점 이상
92,강원도,춘천시,강원대학교 강원창업보육센터,대학,2000-04-27,"기계.환경 및 IT, 바이오 및 농업",24341강원도 춘천시 강원대학길 1(효자동)보듬관 301호,앱개발,63,98,91.4,70점 이상
93,강원도,강릉시,강원도립대학교 창업보육센터,대학,2000-04-27,"해양바이오, 환경에너지 및 지역전략산업",25425강원도 강릉시 주문진읍 연주로 270산학협력단 1층 행정실,바이오,43,51,91.0,70점 이상
94,강원도,속초시,경동대학교 창업보육센터,대학,2000-04-27,해양심층수,"24865강원도 속초시 도리원길 5, 청사관 3105호 창업보육센터 (노학동)청사관 3105호 창업보육센터",특화BI ,37,49,94.8,70점 미만
95,강원도,동해시,동해시창업보육센터,정부·지자체,2000-04-27,생활용품제조,25800강원도 동해시 지양길 200(지흥동)동해시창업보육센터 행정실 9309호,녹색성장,32,41,91.4,70점 이상
96,강원도,강릉시,리스트 강원산업기술연구소 창업보육센터,연구소,2021-07-06,"소재(금속,세라믹)/수소/제조업","25452강원도 강릉시 과학단지로 57-34, 대전동 (대전동)대전동",특화BI ,4,5,100.0,70점 미만
97,강원도,삼척시,삼척창업보육센터,대학,2001-03-12,방재산업 관광용품개발,25913강원 삼척시 중앙로 346강원대학교 삼척창업보육센터 별관 행정실,특화BI ,14,18,100.0,70점 이상
98,강원도,원주시,상지대학교 창업보육센터,대학,2002-03-20,농식품 및 사회적기업,26339강원도 원주시 상지대길 83벤처창업관 2층 행정실 (우산동),바이오,59,72,95.9,70점 이상
99,강원도,원주시,연세원주창업보육센터,대학,1999-02-27,"BIO, 환경, 지식기반서비스",26493강원도 원주시 흥업면 연세대길 1창업보육센터,바이오,30,42,76.6,70점 이상
100,강원도,영월군,영월군 창업보육센터,정부·지자체,2020-03-31,"스마트제조, 농축산바이오","26240강원도 영월군 영월읍 팔괴로 130-24, 1충 창업보육센터1충 창업보육센터",바이오,18,23,91.5,70점 미만
101,강원도,원주시,중진공 원주 포스트BI,공공기관·협단체,1995-12-22,"전기,전자,토목",26311강원도 원주시 태장공단길 51원주창업보육센터 A-204 입주기업지원실,특화BI ,20,22,100.0,70점 이상
102,강원도,원주시,한라대학교창업보육센터,대학,2001-03-12,녹색성장.자동차부품관련,26404강원도 원주시 흥업면 한라대길 28창업보육센터 2관 202호,녹색성장,30,43,76.7,70점 이상
103,강원도,춘천시,한림대학교 창업보육센터,대학,1998-06-22,생물산업분야 및 IT산업,"24252강원도 춘천시 한림대학길 1,12103 (옥천동, 창업보육센터)",바이오,19,25,96.4,70점 이상
104,충청남도,논산시,건양대학교창업보육센터,대학,2000-04-27,음식료품,"32992충청남도 논산시 대학로 121, 내동 (내동)내동",특화BI ,45,44,75.2,70점 미만
105,충청남도,공주시,공주대학교 창업보육센터,대학,1999-08-05,"문화컨텐츠, 식품·바이오, IT, 전자·기계",32588충청남도 공주시 공주대학로 56(신관동)산학연구관 2층 214호,농공상융합기업,29,40,96.6,70점 이상
106,충청남도,천안시,남서울대학교 창업보육센터,대학,2000-04-27,디지털미디어,"31020충청남도 천안시 서북구 성환읍 대학로 91, 창업보육센터창업보육센터",특화BI ,50,67,74.7,70점 이상
107,충청남도,천안시,단국대학교 생명공학창업보육센터,대학,2000-04-27,생명공학,31116충청남도 천안시 동남구 단대로 119(안서동) 단국대학교 생명공학창업보육센터,바이오,17,27,79.6,70점 이상
108,충청남도,천안시,백석대학교창업보육센터,대학,2000-10-31,정보통신,31065충청남도 천안시 동남구 문암로 76 백석대학교창업보육센터,특화BI ,15,16,100.0,70점 이상
109,충청남도,천안시,백석문화대학교 창업보육센터,대학,2009-06-23,"디자인, ICT, 영상","31198충청남도 천안시 동남구 청수14로 96, 백석문화센터 709호 (청당동)백석문화센터 709호","공예, 디자인",22,27,84.6,70점 이상
110,충청남도,천안시,상명대학교 창업지원센터,대학,2013-09-23,"제조, 정보통신",31066충청남도 천안시 동남구 상명대길 31상명대학교 천안캠퍼스 산학렵력관 M310호 창업보육센터 (안서동),지식서비스,15,18,100.0,70점 이상
111,충청남도,아산시,선문대학교 창업보육센터,대학,1999-08-05,전자부품제조,31460충청남도 아산시 탕정면 선문로221번길 70산학협력관 307A,특화BI ,25,33,95.8,70점 이상
112,충청남도,아산시,순천향대학교창업보육센터,대학,1998-06-22,"Red Bio, Green Bio, Blue ICT",31538충청남도 아산시 신창면 순천향로 22공학관 9225,녹색성장,32,60,77.7,70점 이상
113,충청남도,당진시,신성대학교 창업보육센터,대학,2008-12-24,"제조, 에너지, 식품","31801충청남도 당진시 정미면 대학로 1,산학협력관 창업보육센터",특화BI ,10,18,50.9,70점 미만
114,충청남도,금산군,중부창업보육센터,대학,2021-07-06,그린바이오,"32713충청남도 금산군 추부면 대학로 201, 산학협력관산학협력관",바이오,12,48,79.6,70점 미만
115,충청남도,홍성군,청운대학교 창업보육센터,대학,2012-04-30,지식서비스,32244충청남도 홍성군 홍성읍 대학길 25청운대학교 창업보육센터,지식서비스,24,40,77.2,70점 미만
116,충청남도,천안시,한국기술교육대창업보육센터,대학,1999-08-05,반도체 및 기계분야,31253충청남도 천안시 동남구 병천면 충절로 1600한국기술교육대학교 산학협력관(203호) 창업보육센터,특화BI ,21,24,100.0,70점 이상
117,충청남도,태안군,한서대학교 항공해양창업보육센터,대학,2001-03-12,"항공분야, 해양분야",32158충청남도 태안군 남면 곰섬로 236-49창업보육센터 2관,항공,34,56,95.9,70점 이상
118,충청남도,아산시,호서대학교 벤처창업보육센터,대학,1995-09-25,반도체/디스플레이/나노/문화콘텐츠,"31499충청남도 아산시 배방읍 호서로79번길 20, 벤처창업기업관 202호벤처창업기업관 202호",IT,37,65,84.6,70점 이상
119,대전광역시,유성구,대덕대학교 창업보육센터,대학,2016-04-17,여성창업 및 연구단지 시니어 퇴직자,"34111대전광역시 유성구 가정북로 68, 장동 (장동)장동",시니어,18,28,72.1,70점 이상
120,대전광역시,동구,대전대학교 창업보육센터,대학,2000-04-27,"한방바이오, IT",34520대전광역시 동구 대학로 62(용운동)산학협력관,특화BI ,20,22,100.0,70점 이상
121,대전광역시,동구,대전보건대학교 창업보육센터,대학,2015-04-17,"IT, 보건의료융복합","34504대전광역시 동구 충정로 21, 6동 6408호 (가양동) (가양동)6동 6408호 (가양동)",바이오,7,12,82.4,70점 이상
122,대전광역시,서구,목원대학교창업진흥센터,대학,1999-08-05,인터넷기반의 정보기술  디지털콘텐츠홈네트워크SW솔루션 개발운영공예디자인,35349대전광역시 서구 도안북로 88(도안동) 목원대학교  창업진흥센터 O1관 510호,"IT, 앱개발",62,107,85.8,70점 이상
123,대전광역시,유성구,배재대학교 창업보육센터,대학,2005-12-26,IT NT BT CT,"34015대전광역시 유성구 테크노1로 11-3, 대덕산학협력관 DC301호 (관평동)대덕산학협력관 DC301호",특화BI ,70,140,89.0,70점 이상
